Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
birmcherga,بئر المشارقـــة,0.0129652,17,0.004,22.0011,0.12613,0.736188,0.044,0.288,2.40353,2.42034,5.82863,28.6154,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-11-11 00:00:00
rmel,الرمــــــل,0.00330061,18,0.0,0.963022,0.0340826,0.397258,0.0,0.0,1.88084,0.449726,4.07911,2.06724,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-11-11 00:00:00
nebhana,نبهانــــــة,0.0,19,0.0,1.8381,0.0113161,0.0983855,0.0,0.0,2.10584,2.07248,5.57805,7.2742,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-11-11 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.0034,30.2288,0.155857,1.42362,0.025542,0.842635,4.64861,18.2104,17.2876,57.7921,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-11-11 00:00:00
elhaouareb,هـــــــوارب,0.00333738,21,0.0,0.300336,0.0404359,0.331413,0.0,0.0,1.44806,5.27843,5.58527,1.62556,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-11-11 00:00:00
sficifa,سفيسيفة,0.000718307,22,0.0,1.96426,0.00819574,0.107341,0.0,0.0,6.208,0.162298,6.93027,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-11-11 00:00:00
sidiach,سيدي يعيــــش,0.00181125,23,0.0,1.337,0.0204413,0.581639,0.0,0.202,0.0535782,0.0,1.3318,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-11-11 00:00:00
elbrek,البــــــــرك,0.000682069,24,0.0,0.07,0.0082041,0.581298,0.0,0.0,0.154071,0.428907,1.02147,0.09,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-11-11 00:00:00
bezirk,بزيـــــــغ,0.000520186,25,0.0,1.8206,0.0170205,1.31627,0.0,0.221,0.739386,0.213254,1.06039,1.2392,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-11-11 00:00:00
chiba,شيبـــــــة,0.00138624,26,0.0,1.01908,0.128207,0.956775,0.0,0.053721,0.876322,0.0518176,1.39094,0.37438,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-11-11 00:00:00
masri,مصــــــري,0.000974828,27,0.0,4.94074,0.0349208,0.260955,0.033076,0.191201,0.53555,0.264183,0.951389,4.44484,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-11-11 00:00:00
lebna,لبنــــــــة,0.0343077,28,0.002,6.70693,0.93899,2.40431,0.038,0.512967,2.41617,0.744312,2.63245,11.7724,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-11-11 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.838991,0.00373823,0.0703174,0.0,0.0,0.258733,0.0160534,0.635577,0.644564,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-11-11 00:00:00
abid,العبيـــــــد,0.000538577,30,0.0,3.41309,0.138892,2.64097,0.0,0.1213,1.04079,0.197764,0.894149,3.85733,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-11-11 00:00:00
mellegue,مـــــلاق,0.0,1,0.02,14.9448,1.11216,10.1527,0.1658,1.651,14.3448,20.5279,63.0804,14.5343,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-11-10 00:00:00
sarrat,سراط,0.0,36,0.0,8.59338,0.0,6.13477,0.014121,2.44897,3.098,,5.56867,,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2021-11-10 00:00:00
benmetir,بنيمطيــر,0.0,2,0.02246,9.30214,0.0,1.86355,0.2246,1.65317,2.85609,0.166901,1.87641,19.4634,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-11-10 00:00:00
kasseb,كســاب,0.0,3,0.081216,20.1887,0.134347,1.81297,0.858816,6.12922,3.56234,0.561489,2.54045,30.9994,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-11-10 00:00:00
barbara,بربرة,0.0,4,0.0,40.9531,0.229544,11.9779,0.053204,10.1389,6.0035,1.60191,3.67093,43.774,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-11-10 00:00:00
sidisalem,سيدي ســــالم,0.153247,5,0.34526,97.2773,2.20598,11.7871,3.4526,39.7808,14.0,15.6138,31.2997,239.591,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-11-10 00:00:00
bouheurtma,بو هرتمـــــه,0.0278749,6,0.14872,19.4352,0.0793628,5.8279,1.19622,13.2757,4.76869,1.89643,4.28459,20.4657,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-11-10 00:00:00
joumine,جوميــــــن,0.0464043,7,0.096869,27.6895,0.553335,4.56423,1.00892,7.62205,3.36585,0.81694,2.82279,26.7468,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-11-10 00:00:00
ghezala,غزالـــــــة,0.00824177,8,0.0,4.25487,0.0384092,0.380029,0.0,0.6515,0.368189,0.185735,0.403821,4.62146,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-11-10 00:00:00
melah,المالح,0.0228664,33,0.0,5.7826,0.191015,3.05041,0.0,0.0,2.26,0.0024611,2.49333,10.836,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-11-10 00:00:00
tine,الطين,0.00127656,34,0.0,4.15,0.0180846,0.885127,0.0,0.0,1.67,,2.60667,8.3912,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-11-10 00:00:00
sejnane,سجنــــــان,0.185752,9,0.728549,97.931,2.26102,22.8465,7.30384,51.6492,10.0996,12.9046,6.64854,85.8364,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-11-10 00:00:00
zarga,الزرقة,0.0,10,0.0071,12.08,0.00482133,1.67118,0.0886,2.1923,1.72,0.0810365,0.983333,13.267,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-11-10 00:00:00
kebir,الكبير,0.00140823,31,0.0,5.544,0.0161495,1.58006,0.0,1.5984,2.49617,0.318874,4.24526,5.8708,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-11-10 00:00:00
moula,المولى,0.00221372,32,0.0,25.5898,0.0271972,0.865104,0.0,0.0,2.53747,0.427588,4.61561,25.0006,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-11-10 00:00:00
selbarrak,سيدي البــــراق,0.092898,11,0.27885,182.351,1.19967,25.5259,3.56431,36.8266,22.5991,8.07865,15.1336,174.42,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-11-10 00:00:00
ziatine,الزياتين,0.0193138,12,0.038036,17.4936,0.084073,2.74316,0.380098,3.31574,2.95,0.955486,3.28333,20.0312,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-11-10 00:00:00
gamgoum,القمقوم,0.00212766,13,0.0,17.7796,0.0504923,1.81242,0.0367,0.6685,1.41945,0.239292,0.636375,16.82,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2021-11-10 00:00:00
harka,الحركة,0.00611866,35,0.0,28.4796,0.0998317,2.75864,0.0,0.0,2.95,,3.03333,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2021-11-10 00:00:00
siliana,سليانـــــــة,0.00521528,14,0.0,2.64346,0.0562272,1.52121,0.0,0.0,3.5364,4.85653,7.42574,7.14736,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2021-11-10 00:00:00
lakhmess,لخمـــــــاس,0.00104119,15,9.4e-05,1.33365,0.0161773,0.20351,0.005203,0.125914,1.11476,0.338754,2.66367,2.73667,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2021-11-10 00:00:00
rmil,الرميـــــــل,0.00108653,16,0.0,0.6522,0.014709,0.362822,0.01008,0.023287,2.37744,0.880224,2.08241,0.935,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2021-11-10 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.004,22.0011,0.113165,0.723223,0.04,0.284,2.40353,2.42034,5.74851,28.6718,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-11-10 00:00:00
rmel,الرمــــــل,0.00280298,18,0.0,0.963022,0.030782,0.393957,0.0,0.0,1.88084,0.449726,4.01641,2.08538,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-11-10 00:00:00
nebhana,نبهانــــــة,0.0,19,0.0,1.8448,0.0113161,0.0983855,0.0,0.0,2.10584,2.04637,5.50786,7.2894,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-11-10 00:00:00
sidisaad,سيدي سعـــد,0.0261249,20,0.0056,30.3031,0.155857,1.42362,0.022142,0.839235,4.64861,18.1783,17.1326,57.7921,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-11-10 00:00:00
elhaouareb,هـــــــوارب,0.00357576,21,0.0,0.300336,0.0370985,0.328076,0.0,0.0,1.44806,5.27843,5.537,1.65679,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-11-10 00:00:00
sficifa,سفيسيفة,0.000923537,22,0.0,1.96426,0.00747744,0.106622,0.0,0.0,6.208,0.161356,6.72333,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-11-10 00:00:00
sidiach,سيدي يعيــــش,0.00181125,23,0.0,1.337,0.01863,0.579828,0.0,0.202,0.0535782,0.0,1.33001,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-11-10 00:00:00
elbrek,البــــــــرك,0.000682069,24,0.0,0.07,0.00752203,0.580616,0.0,0.0,0.154071,0.427628,1.01633,0.09,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-11-10 00:00:00
bezirk,بزيـــــــغ,0.000695039,25,0.0,1.8206,0.0165003,1.31575,0.0,0.221,0.739386,0.212306,1.03575,1.2568,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-11-10 00:00:00
chiba,شيبـــــــة,0.0412453,26,0.0,1.01908,0.12682,0.955389,0.0,0.053721,0.876322,0.0502341,1.36173,0.39046,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-11-10 00:00:00
masri,مصــــــري,0.00100101,27,0.0,4.94074,0.0339459,0.25998,0.033076,0.191201,0.53555,0.264183,0.933537,4.45237,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-11-10 00:00:00
lebna,لبنــــــــة,0.136851,28,0.0,6.68069,0.904683,2.37,0.036,0.510967,2.41617,0.732104,2.55191,11.7724,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-11-10 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.842334,0.00373823,0.0703174,0.0,0.0,0.258733,0.0160534,0.626953,0.647569,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-11-10 00:00:00
abid,العبيـــــــد,0.0140992,30,0.0,3.41309,0.138353,2.64043,0.0,0.1213,1.04079,0.197764,0.859456,3.86444,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-11-10 00:00:00
mellegue,مـــــلاق,0.0524708,1,0.02,14.9748,1.11216,10.1527,0.1458,1.631,14.3448,20.5279,62.6022,14.7344,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-11-09 00:00:00
sarrat,سراط,0.0,36,0.0,8.6087,0.0,6.13477,0.014121,2.44897,3.098,,5.4654,,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2021-11-09 00:00:00
benmetir,بنيمطيــر,0.0,2,0.02246,9.34924,0.0,1.86355,0.20214,1.63071,2.85609,0.166901,1.78121,19.5535,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-11-09 00:00:00
kasseb,كســاب,0.0,3,0.0864,20.2781,0.134347,1.81297,0.7776,6.048,3.56234,0.561489,2.42171,31.1231,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-11-09 00:00:00
barbara,بربرة,0.00853615,4,0.0,40.9827,0.229544,11.9779,0.053204,10.1389,6.0035,1.60191,3.47081,43.9586,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-11-09 00:00:00
sidisalem,سيدي ســــالم,0.34505,5,0.34526,97.4663,2.05274,11.6339,3.10734,39.4356,14.0,15.4577,30.833,240.143,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-11-09 00:00:00
bouheurtma,بو هرتمـــــه,0.0141975,6,0.10459,19.5589,0.0514879,5.80003,1.0475,13.1269,4.76869,1.88572,4.12563,20.6602,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-11-09 00:00:00
joumine,جوميــــــن,0.0192619,7,0.099499,27.7456,0.506931,4.51782,0.912051,7.52518,3.36585,0.81694,2.7106,26.7737,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-11-09 00:00:00
ghezala,غزالـــــــة,0.00110844,8,0.0,4.24777,0.0301675,0.371787,0.0,0.6515,0.368189,0.185676,0.391548,4.62884,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-11-09 00:00:00
melah,المالح,0.0156277,33,0.0,5.761,0.168148,3.02755,0.0,0.0,2.26,0.0024611,2.418,10.872,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-11-09 00:00:00
tine,الطين,0.00127656,34,0.0,4.15,0.016808,0.883851,0.0,0.0,1.67,,2.551,8.4139,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-11-09 00:00:00
sejnane,سجنــــــان,0.245867,9,0.731569,98.1828,2.07527,22.6608,6.57529,50.9206,10.0996,12.9046,6.31189,85.9526,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-11-09 00:00:00
zarga,الزرقة,0.0,10,0.0065,12.09,0.00482133,1.67118,0.0815,2.1852,1.72,0.0810365,0.926,13.293,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-11-09 00:00:00
kebir,الكبير,0.00092263,31,0.0,5.544,0.0147413,1.57865,0.0,1.5984,2.49617,0.318371,4.16206,5.8708,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-11-09 00:00:00
moula,المولى,0.00200289,32,0.0,25.5898,0.0249834,0.86289,0.0,0.0,2.53747,0.425303,4.53103,25.0006,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-11-09 00:00:00
selbarrak,سيدي البــــراق,0.0,11,0.27957,182.577,1.10677,25.433,3.28546,36.5477,22.5991,8.07865,14.3803,174.86,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-11-09 00:00:00
ziatine,الزياتين,0.0,12,0.039249,17.518,0.0647592,2.72385,0.342062,3.2777,2.95,0.940721,3.185,20.08,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-11-09 00:00:00
gamgoum,القمقوم,0.00319149,13,0.0,17.7796,0.0483647,1.81029,0.0367,0.6685,1.41945,0.238272,0.58906,16.82,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2021-11-09 00:00:00
harka,الحركة,0.00901697,35,0.0,28.4796,0.093713,2.75253,0.0,0.0,2.95,,2.935,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2021-11-09 00:00:00
siliana,سليانـــــــة,0.00440039,14,0.0,2.64346,0.0510119,1.516,0.0,0.0,3.5364,4.84641,7.30786,7.17801,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2021-11-09 00:00:00
lakhmess,لخمـــــــاس,0.000872881,15,8.9e-05,1.33365,0.0151361,0.202469,0.005109,0.12582,1.11476,0.330581,2.62651,2.74293,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2021-11-09 00:00:00
rmil,الرميـــــــل,0.000823125,16,0.0,0.6522,0.0136224,0.361736,0.01008,0.023287,2.37744,0.878141,2.00316,0.935,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2021-11-09 00:00:00
birmcherga,بئر المشارقـــة,0.01597,17,0.004,22.0507,0.113165,0.723223,0.036,0.28,2.40353,2.42034,5.66839,28.7282,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-11-09 00:00:00
rmel,الرمــــــل,0.00238659,18,0.0,0.963022,0.027979,0.391154,0.0,0.0,1.88084,0.449726,3.95372,2.10352,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-11-09 00:00:00
nebhana,نبهانــــــة,0.0020448,19,0.0,1.8515,0.0113161,0.0983855,0.0,0.0,2.10584,2.02151,5.43766,7.3046,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-11-09 00:00:00
sidisaad,سيدي سعـــد,0.0192007,20,0.0,30.3031,0.129732,1.3975,0.016542,0.833635,4.64861,18.1783,16.9777,57.8917,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-11-09 00:00:00
elhaouareb,هـــــــوارب,0.00402273,21,0.0,0.300336,0.0335228,0.3245,0.0,0.0,1.44806,5.27843,5.48873,1.71927,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-11-09 00:00:00
sficifa,سفيسيفة,0.000923537,22,0.0,1.96426,0.0065539,0.105699,0.0,0.0,6.208,0.160415,6.5164,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-11-09 00:00:00
sidiach,سيدي يعيــــش,0.00181125,23,0.0,1.337,0.0168188,0.578017,0.0,0.202,0.0535782,0.0,1.32822,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-11-09 00:00:00
elbrek,البــــــــرك,0.000682069,24,0.0,0.07,0.00683996,0.579934,0.0,0.0,0.154071,0.42635,1.0112,0.09,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-11-09 00:00:00
bezirk,بزيـــــــغ,0.0119147,25,0.0,1.8206,0.0158052,1.31505,0.0,0.221,0.739386,0.210892,1.0111,1.2748,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-11-09 00:00:00
chiba,شيبـــــــة,0.0809369,26,0.0,0.97932,0.085575,0.914143,0.0,0.053721,0.876322,0.0502341,1.33252,0.40252,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-11-09 00:00:00
masri,مصــــــري,0.000931821,27,0.0,4.91711,0.0329449,0.258979,0.033076,0.191201,0.53555,0.264183,0.915686,4.49005,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-11-09 00:00:00
lebna,لبنــــــــة,0.718198,28,0.003,6.54951,0.767832,2.23315,0.036,0.510967,2.41617,0.732104,2.47137,11.8218,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-11-09 00:00:00
hma,الحمـــــى,0.000658044,29,0.0,0.845677,0.00373823,0.0703174,0.0,0.0,0.258733,0.0160534,0.618328,0.650575,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-11-09 00:00:00
abid,العبيـــــــد,0.119091,30,0.0,3.39995,0.124254,2.62633,0.0,0.1213,1.04079,0.196209,0.824763,3.87155,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-11-09 00:00:00
mellegue,مـــــلاق,1.0375,1,0.02,14.9448,1.05969,10.1002,0.1258,1.611,14.3448,20.5253,62.1241,14.9147,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-11-08 00:00:00
sarrat,سراط,0.0,36,0.0,8.63935,0.0,6.13477,0.014121,2.44897,3.098,,5.36213,,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2021-11-08 00:00:00
benmetir,بنيمطيــر,0.0,2,0.02246,9.39634,0.0,1.86355,0.17968,1.60825,2.85609,0.166901,1.686,19.6436,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-11-08 00:00:00
kasseb,كســاب,0.0171905,3,0.0864,20.3675,0.134347,1.81297,0.6912,5.9616,3.56234,0.561489,2.30296,31.2482,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-11-08 00:00:00
barbara,بربرة,0.0,4,0.0,40.9827,0.221008,11.9694,0.053204,10.1389,6.0035,1.59093,3.27069,43.9586,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-11-08 00:00:00
sidisalem,سيدي ســــالم,0.0,5,0.34526,97.4663,1.70769,11.2888,2.76208,39.0903,14.0,15.2731,30.3663,240.972,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-11-08 00:00:00
bouheurtma,بو هرتمـــــه,0.0106319,6,0.13099,19.6516,0.0372904,5.78583,0.942911,13.0224,4.76869,1.77434,3.96668,20.7575,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-11-08 00:00:00
joumine,جوميــــــن,0.021551,7,0.101289,27.8298,0.487669,4.49856,0.812552,7.42568,3.36585,0.81694,2.5984,26.8006,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-11-08 00:00:00
ghezala,غزالـــــــة,0.0152466,8,0.0,4.24777,0.029059,0.370678,0.0,0.6515,0.368189,0.185337,0.379275,4.63622,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-11-08 00:00:00
melah,المالح,0.0227554,33,0.0,5.7466,0.15252,3.01192,0.0,0.0,2.26,0.0024611,2.34267,10.908,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-11-08 00:00:00
tine,الطين,0.00148932,34,0.0,4.15,0.0155315,0.882574,0.0,0.0,1.67,,2.49533,8.4366,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-11-08 00:00:00
sejnane,سجنــــــان,0.196979,9,0.731669,98.3716,1.8294,22.4149,5.84372,50.189,10.0996,12.8562,5.97524,86.0108,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-11-08 00:00:00
zarga,الزرقة,0.0,10,0.0171,12.1,0.00482133,1.67118,0.075,2.1787,1.72,0.0810289,0.868667,13.332,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-11-08 00:00:00
kebir,الكبير,0.00126255,31,0.0,5.544,0.0138187,1.57773,0.0,1.5984,2.49617,0.317969,4.07885,5.8708,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-11-08 00:00:00
moula,المولى,0.0027408,32,0.0,25.5898,0.0229805,0.860887,0.0,0.0,2.53747,0.423018,4.44645,25.0006,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-11-08 00:00:00
selbarrak,سيدي البــــراق,0.212805,11,0.40037,183.029,1.10677,25.433,3.00589,36.2681,22.5991,8.07865,13.627,175.3,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-11-08 00:00:00
ziatine,الزياتين,0.0,12,0.038076,17.5668,0.0647592,2.72385,0.302813,3.23845,2.95,0.927415,3.08667,20.1288,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-11-08 00:00:00
gamgoum,القمقوم,0.00212766,13,0.0,17.7796,0.0451732,1.8071,0.0367,0.6685,1.41945,0.238272,0.541745,16.8339,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2021-11-08 00:00:00
harka,الحركة,0.0,35,0.0,28.4796,0.0846961,2.74351,0.0,0.0,2.95,,2.83667,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2021-11-08 00:00:00
siliana,سليانـــــــة,0.00488932,14,0.0,2.64346,0.0466115,1.5116,0.0,0.0,3.5364,4.84641,7.18998,7.20866,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2021-11-08 00:00:00
lakhmess,لخمـــــــاس,0.00126182,15,8.6e-05,1.33365,0.0142633,0.201596,0.00502,0.125731,1.11476,0.323142,2.58935,2.74293,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2021-11-08 00:00:00
rmil,الرميـــــــل,0.0010536,16,0.0,0.6522,0.0127993,0.360913,0.01008,0.023287,2.37744,0.87734,1.92391,0.9385,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2021-11-08 00:00:00
birmcherga,بئر المشارقـــة,0.0163441,17,0.004,22.0507,0.0971946,0.707253,0.032,0.276,2.40353,2.42034,5.58828,28.7846,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-11-08 00:00:00
rmel,الرمــــــل,0.00286391,18,0.0,0.963022,0.0255924,0.388768,0.0,0.0,1.88084,0.449726,3.89103,2.12166,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-11-08 00:00:00
nebhana,نبهانــــــة,0.0,19,0.0,1.8515,0.0092713,0.0963407,0.0,0.0,2.10584,2.01389,5.36747,7.3198,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-11-08 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.0021,30.3031,0.110531,1.3783,0.016542,0.833635,4.64861,18.1443,16.8227,57.8917,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-11-08 00:00:00
elhaouareb,هـــــــوارب,0.00357576,21,0.0,0.300336,0.0295,0.320477,0.0,0.0,1.44806,5.27843,5.44046,1.78175,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-11-08 00:00:00
sficifa,سفيسيفة,0.000923537,22,0.0,1.96426,0.00563036,0.104775,0.0,0.0,6.208,0.159473,6.30947,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-11-08 00:00:00
sidiach,سيدي يعيــــش,0.00181125,23,0.0,1.337,0.0150075,0.576205,0.0,0.202,0.0535782,0.0,1.32644,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-11-08 00:00:00
elbrek,البــــــــرك,0.000806081,24,0.0,0.07,0.00615789,0.579252,0.0,0.0,0.154071,0.425072,1.00607,0.09,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-11-08 00:00:00
bezirk,بزيـــــــغ,0.000518748,25,0.0,1.809,0.00389049,1.30314,0.0,0.221,0.739386,0.208066,0.986454,1.2796,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-11-08 00:00:00
chiba,شيبـــــــة,0.0,26,0.0,0.8998,0.00463807,0.833206,0.0,0.053721,0.876322,0.0494321,1.30331,0.40252,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-11-08 00:00:00
masri,مصــــــري,0.00127279,27,0.0,4.90135,0.0320131,0.258048,0.033076,0.191201,0.53555,0.263584,0.897834,4.55032,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-11-08 00:00:00
lebna,لبنــــــــة,0.00929184,28,0.005,5.83805,0.0496339,1.51495,0.033,0.507967,2.41617,0.719218,2.39083,11.8218,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-11-08 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.845677,0.00308019,0.0696594,0.0,0.0,0.258733,0.0160534,0.609704,0.653581,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-11-08 00:00:00
