Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
abid,العبيـــــــد,0.00106112,30,0.0,3.84311,0.0183489,0.859904,0.11126,1.03508,0.221428,3.76547,5.12454,7.76174,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-04-18 00:00:00
mellegue,مـــــلاق,0.148261,1,0.1,9.96074,0.652857,30.826,1.7,29.4432,15.1831,39.4099,128.487,22.6087,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-04-17 00:00:00
sarrat,سراط,0.00131323,36,0.0,6.28184,0.0124614,0.0124614,0.0,0.0,1.382,,12.8881,,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2021-04-17 00:00:00
benmetir,بنيمطيــر,0.0731108,2,0.07,22.8597,0.37648,15.9348,1.2022,16.334,4.65287,13.061,39.621,39.6063,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-04-17 00:00:00
kasseb,كســاب,0.0595244,3,0.0864,39.4085,0.79726,23.3261,1.37934,20.0455,3.88401,13.783,40.4103,51.8632,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-04-17 00:00:00
barbara,بربرة,1.08782,4,0.12682,64.7983,2.07778,44.8418,1.79463,24.1784,8.57463,26.4921,77.8375,64.8846,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-04-17 00:00:00
sidisalem,سيدي ســــالم,0.946735,5,0.0432,292.246,5.20582,141.959,13.6059,138.279,45.272,163.997,345.038,459.539,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-04-17 00:00:00
bouheurtma,بو هرتمـــــه,0.206009,6,0.06,33.4181,1.21979,28.4445,3.53655,32.1199,8.32129,32.5432,73.9971,54.8284,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-04-17 00:00:00
joumine,جوميــــــن,0.16823,7,0.091102,49.0341,1.44916,37.4135,1.6754,16.585,6.67555,29.4288,70.5761,52.5964,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-04-17 00:00:00
ghezala,غزالـــــــة,0.0397767,8,0.0018,7.09082,0.442207,3.28343,0.141,1.0331,0.955746,3.096,8.79203,8.20583,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-04-17 00:00:00
melah,المالح,0.0384582,33,0.04929,11.628,0.116005,7.27438,0.82346,6.98557,1.57,8.91002,23.9897,27.48,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-04-17 00:00:00
tine,الطين,0.0024993,34,0.0,8.0053,0.140491,5.21251,0.21748,5.9207,1.39,,16.1417,,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-04-17 00:00:00
sejnane,سجنــــــان,0.61147,9,0.472782,96.7351,1.58575,84.0855,6.62417,127.078,6.74178,55.9567,114.39,96.3575,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-04-17 00:00:00
zarga,الزرقة,0.171634,10,0.0,19.144,0.231986,7.61882,0.1924,3.87331,2.08,19.6199,20.4587,23.284,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-04-17 00:00:00
kebir,الكبير,0.297089,31,0.0,6.38,0.500608,16.9163,0.78864,14.9383,0.804585,12.7176,35.8114,6.4256,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-04-17 00:00:00
moula,المولى,0.321803,32,0.378,26.1646,0.508086,14.63,0.378,12.4517,0.59641,8.97412,29.9888,26.1933,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-04-17 00:00:00
selbarrak,سيدي البــــراق,1.27835,11,0.35235,282.289,4.17118,161.202,5.53669,65.904,21.6344,111.19,280.988,277.158,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-04-17 00:00:00
ziatine,الزياتين,0.138951,12,0.0393604,26.3508,0.328032,6.23689,0.727489,4.15369,2.35,13.5336,27.1817,29.3765,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-04-17 00:00:00
gamgoum,القمقوم,0.0715989,13,0.0,17.9228,0.116033,6.23689,0.0,4.4044,0.154951,3.915,7.86134,17.751,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2021-04-17 00:00:00
harka,الحركة,0.0,35,0.0,30.2712,0.257822,1.18813,0.0,0.148057,1.42,,22.6647,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2021-04-17 00:00:00
siliana,سليانـــــــة,0.0354342,14,0.0,8.35046,0.171365,10.7191,1.03413,5.50322,3.07689,7.07642,30.9188,18.2039,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2021-04-17 00:00:00
lakhmess,لخمـــــــاس,0.00263193,15,0.002274,2.59079,0.067387,1.44233,0.240559,1.75787,1.48475,1.18695,10.2695,4.47176,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2021-04-17 00:00:00
rmil,الرميـــــــل,0.000318864,16,0.0,1.2742,0.0228518,1.46571,0.08968,0.196286,0.582374,0.638828,9.52503,1.1281,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2021-04-17 00:00:00
birmcherga,بئر المشارقـــة,0.0106908,17,0.0026,32.59,0.15156,9.11019,0.0344,0.5872,2.54987,6.22748,23.3677,35.0856,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-04-17 00:00:00
rmel,الرمــــــل,0.0146182,18,0.0055,4.4344,0.0858281,5.93033,0.0935,1.35863,1.02624,4.62165,15.119,10.0104,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-04-17 00:00:00
nebhana,نبهانــــــة,0.0208185,19,0.01902,5.94604,0.137307,5.6848,0.652288,4.23292,1.84899,3.83055,19.4212,12.8258,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-04-17 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.036501,48.7767,0.0768432,22.1633,1.16197,9.68793,2.67582,9.34917,36.4529,55.4018,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-04-17 00:00:00
elhaouareb,هـــــــوارب,0.00089394,21,0.0,0.300336,0.143486,7.70465,0.0972,0.932514,0.880421,3.45188,13.0339,0.36298,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-04-17 00:00:00
sficifa,سفيسيفة,0.00034875,22,0.0,1.55724,0.00592875,0.219423,0.0,0.0,7.433,0.0792789,70.253,1.57104,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-04-17 00:00:00
sidiach,سيدي يعيــــش,0.0,23,0.0,2.42152,0.0,0.00152,0.0,0.0,0.0245687,0.457613,1.4683,4.44,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-04-17 00:00:00
elbrek,البــــــــرك,0.00051135,24,0.0,0.09,0.00869295,0.508872,0.0,0.1,0.00478571,0.138231,2.02471,1.4,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-04-17 00:00:00
bezirk,بزيـــــــغ,0.0022387,25,0.0,2.103,0.0316438,0.681777,0.0,0.609,0.385796,2.10429,4.52837,4.0236,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-04-17 00:00:00
chiba,شيبـــــــة,0.000818798,26,0.0,0.96796,0.00545892,0.311225,0.098528,0.878604,0.40619,1.89113,6.19787,0.80324,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-04-17 00:00:00
masri,مصــــــري,0.0,27,0.0,5.09828,0.0167725,0.622991,0.006,4.17245,0.400928,0.725262,4.11096,5.11403,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-04-17 00:00:00
lebna,لبنــــــــة,0.00922391,28,0.0056,11.4762,0.124239,3.66388,0.21,1.27116,0.762047,21.0981,17.3959,22.0083,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-04-17 00:00:00
hma,الحمـــــى,0.017429,29,0.0,1.91921,0.021921,1.84234,0.0,0.017334,0.060987,0.424602,4.35262,1.81314,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-04-17 00:00:00
abid,العبيـــــــد,0.000317242,30,0.0,3.84311,0.0172878,0.858842,0.11126,1.03508,0.221428,3.76547,5.11716,7.78456,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-04-17 00:00:00
mellegue,مـــــلاق,0.10253,1,0.1,9.91485,0.504596,30.6778,1.6,29.3432,15.1831,39.357,127.981,22.6488,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-04-16 00:00:00
sarrat,سراط,0.00234505,36,0.0,6.28184,0.0111482,0.0111482,0.0,0.0,1.382,,12.8421,,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2021-04-16 00:00:00
benmetir,بنيمطيــر,0.0731108,2,0.07,22.8597,0.30337,15.8617,1.1322,16.264,4.65287,13.061,39.4659,39.7052,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-04-16 00:00:00
kasseb,كســاب,0.0595253,3,0.0864,39.4375,0.737736,23.2665,1.29294,19.9591,3.88401,13.7222,40.2808,51.8972,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-04-16 00:00:00
barbara,بربرة,0.289553,4,0.120142,63.8429,0.989959,43.754,1.66781,24.0516,8.57463,26.4338,77.5517,64.8846,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-04-16 00:00:00
sidisalem,سيدي ســــالم,0.927954,5,0.64343,291.31,4.25909,141.013,13.5627,138.236,45.272,163.75,343.529,460.338,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-04-16 00:00:00
bouheurtma,بو هرتمـــــه,0.0900369,6,0.157,33.1645,1.01378,28.2385,3.47655,32.0599,8.32129,32.4426,73.7197,55.0466,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-04-16 00:00:00
